id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,waterfront,view,sqft_living15,sqft_lot15,lat,long
7849201600,3.0,1.0,1220.0,6600.0,1.0,3.0,6.0,0.0,0.0,1100.0,6600.0,47.5297,-121.827
5141000720,2.0,2.0,2010.0,3797.0,1.5,3.0,7.0,0.0,0.0,1660.0,4650.0,47.5596,-122.315
8651610580,4.0,2.5,2570.0,7980.0,2.0,3.0,9.0,0.0,0.0,2760.0,6866.0,47.6378,-122.065
3935900005,4.0,2.25,2740.0,11343.0,1.0,5.0,10.0,0.0,2.0,2790.0,10027.0,47.7117,-122.278
1524079188,4.0,5.25,5240.0,320917.0,2.0,3.0,10.0,0.0,2.0,1930.0,68824.0,47.5605,-121.905
2461900760,3.0,1.0,1380.0,6250.0,1.0,4.0,7.0,0.0,0.0,2270.0,6250.0,47.5514,-122.385
3333001430,3.0,3.0,2130.0,5000.0,1.5,3.0,7.0,0.0,0.0,1638.0,4500.0,47.5451,-122.284
8039900360,3.0,2.25,2090.0,15000.0,1.0,3.0,7.0,0.0,0.0,1690.0,14400.0,47.4885,-121.783
6338000014,4.0,2.0,1760.0,5307.0,1.5,4.0,7.0,0.0,0.0,1850.0,6600.0,47.6714,-122.28
7349400610,4.0,2.25,2050.0,12581.0,2.0,4.0,7.0,0.0,0.0,1620.0,7400.0,47.3215,-122.204
1770000130,3.0,1.75,1750.0,16748.0,1.0,3.0,7.0,0.0,0.0,1750.0,16050.0,47.7421,-122.089
7974200776,4.0,2.75,2140.0,4000.0,1.0,3.0,7.0,0.0,0.0,2140.0,4770.0,47.6792,-122.287
4232400010,5.0,1.0,1760.0,4264.0,2.0,3.0,8.0,0.0,0.0,2130.0,4264.0,47.6246,-122.312
1624059093,3.0,2.0,1890.0,29185.0,1.0,3.0,7.0,0.0,0.0,2580.0,11600.0,47.5621,-122.168
2481630290,4.0,2.75,4230.0,31747.0,2.0,4.0,10.0,0.0,0.0,4080.0,35576.0,47.731,-122.132
7327500200,3.0,1.75,1180.0,14292.0,1.0,3.0,7.0,0.0,0.0,1480.0,14400.0,47.4818,-121.733
9477201040,3.0,1.75,1810.0,7300.0,1.0,4.0,7.0,0.0,0.0,1460.0,7560.0,47.7299,-122.192
7527000090,4.0,1.75,2260.0,19500.0,1.0,3.0,8.0,0.0,2.0,2980.0,19500.0,47.6555,-122.086
868002335,3.0,2.75,2710.0,9204.0,1.5,3.0,9.0,0.0,4.0,2960.0,10080.0,47.7039,-122.385
643400130,3.0,1.75,1610.0,7200.0,1.0,3.0,7.0,0.0,0.0,1520.0,7973.0,47.5966,-122.144
2517000150,3.0,2.5,1870.0,3439.0,2.0,3.0,7.0,0.0,0.0,2190.0,4029.0,47.3992,-122.163
3028200080,2.0,1.0,730.0,9975.0,1.0,1.0,5.0,0.0,0.0,860.0,9000.0,47.4808,-122.315
3987700115,4.0,1.75,1640.0,9299.0,1.5,4.0,7.0,0.0,0.0,2460.0,14326.0,47.5334,-122.168
7519000225,3.0,1.0,1580.0,3774.0,1.5,3.0,6.0,0.0,0.0,1580.0,3860.0,47.6839,-122.361
2891100820,3.0,1.0,1220.0,6000.0,1.0,4.0,7.0,0.0,0.0,1420.0,6000.0,47.3245,-122.209
7987400475,5.0,3.0,2400.0,10126.0,2.0,3.0,8.0,0.0,3.0,2250.0,3946.0,47.5726,-122.373
1373800170,4.0,1.75,2010.0,6300.0,1.0,5.0,8.0,0.0,2.0,3290.0,6300.0,47.6457,-122.412
3365900175,3.0,2.5,1600.0,5960.0,2.0,5.0,8.0,0.0,2.0,1410.0,13056.0,47.4758,-122.265
952001495,4.0,1.75,2170.0,5750.0,1.0,3.0,7.0,0.0,2.0,1450.0,5750.0,47.5668,-122.383
7905400160,3.0,1.5,1370.0,9800.0,1.0,5.0,7.0,0.0,0.0,1370.0,9800.0,47.3068,-122.27
9485700136,3.0,1.0,1140.0,7316.0,1.0,3.0,6.0,0.0,0.0,1140.0,7440.0,47.527,-122.362
8651441520,3.0,1.0,820.0,5200.0,1.0,4.0,6.0,0.0,0.0,1120.0,5200.0,47.363,-122.094
8944360170,3.0,2.5,1810.0,4332.0,2.0,3.0,8.0,0.0,0.0,1740.0,4332.0,47.5776,-121.996
4067600255,2.0,1.0,590.0,10945.0,1.5,3.0,5.0,0.0,0.0,2020.0,15180.0,47.3364,-122.033
2891000450,3.0,1.0,1230.0,6000.0,1.0,4.0,7.0,0.0,0.0,1240.0,6000.0,47.3256,-122.209
5727500301,3.0,1.5,1470.0,6867.0,1.0,3.0,8.0,0.0,0.0,1470.0,6523.0,47.7495,-122.327
9262800294,3.0,1.75,2170.0,10018.0,1.0,4.0,7.0,0.0,0.0,2049.0,15263.0,47.3087,-122.264
4365200520,3.0,2.25,1410.0,7740.0,1.0,5.0,6.0,0.0,0.0,1220.0,7740.0,47.523,-122.371
1930300410,2.0,1.0,1250.0,4320.0,1.0,4.0,7.0,0.0,0.0,1520.0,4320.0,47.6549,-122.352
2597650240,3.0,2.25,2030.0,16200.0,2.0,3.0,8.0,0.0,0.0,2660.0,17958.0,47.5162,-122.057
2895600350,3.0,1.0,1780.0,5236.0,1.5,5.0,6.0,0.0,0.0,1260.0,5320.0,47.5119,-122.386
7852090680,4.0,2.5,2550.0,5395.0,2.0,3.0,8.0,0.0,0.0,2850.0,6109.0,47.5355,-121.874
8126300360,3.0,2.25,1800.0,11200.0,1.0,3.0,8.0,0.0,0.0,1940.0,11250.0,47.7072,-122.164
4366700140,3.0,1.0,1010.0,9611.0,1.0,4.0,6.0,0.0,0.0,1200.0,9611.0,47.3006,-122.066
8078430360,3.0,2.5,1820.0,11012.0,2.0,3.0,8.0,0.0,0.0,1860.0,7767.0,47.6358,-122.026
2877104316,4.0,1.5,1960.0,4500.0,1.5,3.0,7.0,0.0,2.0,1960.0,4500.0,47.6797,-122.359
7548301050,2.0,1.5,1340.0,1402.0,2.0,3.0,8.0,0.0,0.0,1340.0,1213.0,47.588,-122.304
5153200506,3.0,1.0,1000.0,12000.0,1.0,3.0,7.0,0.0,0.0,1490.0,14940.0,47.3321,-122.346
1025059181,3.0,2.0,1580.0,7400.0,1.0,3.0,7.0,0.0,0.0,1560.0,7458.0,47.6715,-122.162
